|F| is smaller than |a|	smaller(f,a)
|D| and Y. both are the same shape	sameshape(d,y)
Both |d| and y are the same shape	sameshape(d,y)
|D| and y are both the same shape	sameshape(d,y)
|D| and y are the same shape	sameshape(d,y)
|D| and Y. are both the same shape	sameshape(d,y)
|D| and y both are the same shape	sameshape(d,y)
Both |e| and x are the same size	samesize(e,x)
|E| is the same size as x	samesize(e,x)
|E| and x are both the same size	samesize(e,x)
|E| and X. both are the same size	samesize(e,x)
|E| and X. are the same size	samesize(e,x)
|E| and x both are the same size	samesize(e,x)
|E| and x are the same size	samesize(e,x)
Both |e| and X. are the same size	samesize(e,x)
Both |e| and X. are the same size	samesize(e,x)
|E| and X. are both the same size	samesize(e,x)
Both |e| and x are the same size	samesize(e,x)
Y. is smaller than |d|	smaller(y,d)
Y is smaller than |d|	smaller(y,d)
Both y and |d| are the same shape	sameshape(y,d)
Y and |d| both are the same shape	sameshape(y,d)
Y and |d| are the same shape	sameshape(y,d)
Y is the same shape as |d|	sameshape(y,d)
Both Y. and |d| are the same shape	sameshape(y,d)
Y. is the same shape as |d|	sameshape(y,d)
Both y and |d| are the same shape	sameshape(y,d)
Y and |d| are both the same shape	sameshape(y,d)
Y. and |d| are the same shape	sameshape(y,d)
Y. and |d| are both the same shape	sameshape(y,d)
Both Y. and |d| are the same shape	sameshape(y,d)
Y. and |d| both are the same shape	sameshape(y,d)
|E| is to the left of |c|	leftof(e,c)
|F| is smaller than |b|	smaller(f,b)
Y. and |c| are both in the same row	samerow(y,c)
Y. is in the same row as |c|	samerow(y,c)
Y and |c| are both in the same row	samerow(y,c)
Y. and |c| both are in the same row	samerow(y,c)
Y. and |c| are in the same row	samerow(y,c)
Both Y. and |c| are in the same row	samerow(y,c)
Both y and |c| are in the same row	samerow(y,c)
Both y and |c| are in the same row	samerow(y,c)
Y and |c| are in the same row	samerow(y,c)
Y is in the same row as |c|	samerow(y,c)
Y and |c| both are in the same row	samerow(y,c)
Both Y. and |c| are in the same row	samerow(y,c)
|C| is to the right of |b|	rightof(c,b)
Z. is to the left of y	leftof(z,y)
Z is to the left of y	leftof(z,y)
X. is smaller than |a|	smaller(x,a)
X is smaller than |a|	smaller(x,a)
|B| is to the left of |f|	leftof(b,f)
Z. is in back of |f|	backof(z,f)
Z is in back of |f|	backof(z,f)
|D| is smaller than |e|	smaller(d,e)
X. adjoins |a|	adjoins(x,a)
X adjoins |a|	adjoins(x,a)
|F| likes |b|	likes(f,b)
Z is the same size as |b|	samesize(z,b)
Z. and |b| both are the same size	samesize(z,b)
Z. and |b| are the same size	samesize(z,b)
Both z and |b| are the same size	samesize(z,b)
Both Z. and |b| are the same size	samesize(z,b)
Both z and |b| are the same size	samesize(z,b)
Z. is the same size as |b|	samesize(z,b)
Z and |b| are the same size	samesize(z,b)
Z and |b| both are the same size	samesize(z,b)
Z and |b| are both the same size	samesize(z,b)
Both Z. and |b| are the same size	samesize(z,b)
Z. and |b| are both the same size	samesize(z,b)
|B| and |f| both are in the same row	samerow(b,f)
|B| and |f| are both in the same row	samerow(b,f)
Both |b| and |f| are in the same row	samerow(b,f)
|B| is in the same row as |f|	samerow(b,f)
Both |b| and |f| are in the same row	samerow(b,f)
|B| and |f| are in the same row	samerow(b,f)
Z. adjoins |f|	adjoins(z,f)
Z adjoins |f|	adjoins(z,f)
|C| is a tetrahedron	tet(c)
|C| adjoins x	adjoins(c,x)
Y and |a| are both the same size	samesize(y,a)
Y. and |a| are the same size	samesize(y,a)
Y. and |a| both are the same size	samesize(y,a)
Y. and |a| are both the same size	samesize(y,a)
Y and |a| both are the same size	samesize(y,a)
Y and |a| are the same size	samesize(y,a)
Both y and |a| are the same size	samesize(y,a)
Y is the same size as |a|	samesize(y,a)
Both y and |a| are the same size	samesize(y,a)
Both Y. and |a| are the same size	samesize(y,a)
Y. is the same size as |a|	samesize(y,a)
Both Y. and |a| are the same size	samesize(y,a)
Z likes x	likes(z,x)
Z. likes x	likes(z,x)
|F| is in front of |f|	frontof(f,f)
|B| is in the same column as y	samecol(b,y)
Both |b| and Y. are in the same column	samecol(b,y)
|B| and Y. both are in the same column	samecol(b,y)
Both |b| and Y. are in the same column	samecol(b,y)
Both |b| and y are in the same column	samecol(b,y)
|B| and y both are in the same column	samecol(b,y)
|B| and Y. are in the same column	samecol(b,y)
|B| and y are in the same column	samecol(b,y)
|B| and y are both in the same column	samecol(b,y)
Both |b| and y are in the same column	samecol(b,y)
|B| and Y. are both in the same column	samecol(b,y)
|E| and |d| are in the same column	samecol(e,d)
|E| and |d| are both in the same column	samecol(e,d)
Both |e| and |d| are in the same column	samecol(e,d)
|E| is in the same column as |d|	samecol(e,d)
|E| and |d| both are in the same column	samecol(e,d)
Both |e| and |d| are in the same column	samecol(e,d)
Both |d| and |c| are in the same row	samerow(d,c)
|D| is in the same row as |c|	samerow(d,c)
|D| and |c| both are in the same row	samerow(d,c)
Both |d| and |c| are in the same row	samerow(d,c)
|D| and |c| are both in the same row	samerow(d,c)
|D| and |c| are in the same row	samerow(d,c)
Y. adjoins |a|	adjoins(y,a)
Y adjoins |a|	adjoins(y,a)
Both |d| and |f| are the same shape	sameshape(d,f)
|D| and |f| are the same shape	sameshape(d,f)
|D| and |f| are both the same shape	sameshape(d,f)
|D| is the same shape as |f|	sameshape(d,f)
Both |d| and |f| are the same shape	sameshape(d,f)
|D| and |f| both are the same shape	sameshape(d,f)
|E| is larger than x	larger(e,x)
Z. and |b| are both the same shape	sameshape(z,b)
Z and |b| are both the same shape	sameshape(z,b)
Z. and |b| both are the same shape	sameshape(z,b)
Both z and |b| are the same shape	sameshape(z,b)
Z and |b| both are the same shape	sameshape(z,b)
Both Z. and |b| are the same shape	sameshape(z,b)
Z is the same shape as |b|	sameshape(z,b)
Z and |b| are the same shape	sameshape(z,b)
Both Z. and |b| are the same shape	sameshape(z,b)
Z. and |b| are the same shape	sameshape(z,b)
Z. is the same shape as |b|	sameshape(z,b)
Both z and |b| are the same shape	sameshape(z,b)
Y. is to the right of |a|	rightof(y,a)
Y is to the right of |a|	rightof(y,a)
|F| and |d| are both in the same column	samecol(f,d)
|F| and |d| both are in the same column	samecol(f,d)
Both |f| and |d| are in the same column	samecol(f,d)
Both |f| and |d| are in the same column	samecol(f,d)
|F| and |d| are in the same column	samecol(f,d)
|F| is in the same column as |d|	samecol(f,d)
Y and X. both are the same size	samesize(y,x)
Y. and X. are the same size	samesize(y,x)
Both Y. and X. are the same size	samesize(y,x)
Y and x are both the same size	samesize(y,x)
Both Y. and x are the same size	samesize(y,x)
Y. and x are the same size	samesize(y,x)
Y. and x both are the same size	samesize(y,x)
Y. and X. are both the same size	samesize(y,x)
Both Y. and x are the same size	samesize(y,x)
Y. and X. both are the same size	samesize(y,x)
Y and X. are the same size	samesize(y,x)
Y and x both are the same size	samesize(y,x)
Both y and X. are the same size	samesize(y,x)
Both y and x are the same size	samesize(y,x)
Y. and x are both the same size	samesize(y,x)
Y and X. are both the same size	samesize(y,x)
Both Y. and X. are the same size	samesize(y,x)
Both y and X. are the same size	samesize(y,x)
Y is the same size as x	samesize(y,x)
Y. is the same size as x	samesize(y,x)
Y	samesize(y,x)
Y and x are the same size	samesize(y,x)
Both y and x are the same size	samesize(y,x)
X. is in front of |f|	frontof(x,f)
X is in front of |f|	frontof(x,f)
X is to the left of |f|	leftof(x,f)
X. is to the left of |f|	leftof(x,f)
Y. and |b| are in the same column	samecol(y,b)
Y and |b| are both in the same column	samecol(y,b)
Both Y. and |b| are in the same column	samecol(y,b)
Y. is in the same column as |b|	samecol(y,b)
Y. and |b| are both in the same column	samecol(y,b)
Y and |b| both are in the same column	samecol(y,b)
Both Y. and |b| are in the same column	samecol(y,b)
Y is in the same column as |b|	samecol(y,b)
Both y and |b| are in the same column	samecol(y,b)
Both y and |b| are in the same column	samecol(y,b)
Y and |b| are in the same column	samecol(y,b)
Y. and |b| both are in the same column	samecol(y,b)
Both |f| and |c| are in the same column	samecol(f,c)
|F| is in the same column as |c|	samecol(f,c)
|F| and |c| are both in the same column	samecol(f,c)
|F| and |c| are in the same column	samecol(f,c)
|F| and |c| both are in the same column	samecol(f,c)
Both |f| and |c| are in the same column	samecol(f,c)
Y adjoins |d|	adjoins(y,d)
Y. adjoins |d|	adjoins(y,d)
Z is larger than |c|	larger(z,c)
Z. is larger than |c|	larger(z,c)
X. and y both are in the same column	samecol(x,y)
Both X. and y are in the same column	samecol(x,y)
X is in the same column as y	samecol(x,y)
X	samecol(x,y)
X. and y are in the same column	samecol(x,y)
Both x and Y. are in the same column	samecol(x,y)
Both X. and Y. are in the same column	samecol(x,y)
X and y both are in the same column	samecol(x,y)
X and Y. are both in the same column	samecol(x,y)
X and Y. both are in the same column	samecol(x,y)
X. and Y. both are in the same column	samecol(x,y)
Both X. and y are in the same column	samecol(x,y)
X. is in the same column as y	samecol(x,y)
Both X. and Y. are in the same column	samecol(x,y)
X. and y are both in the same column	samecol(x,y)
Both x and Y. are in the same column	samecol(x,y)
X and y are in the same column	samecol(x,y)
Both x and y are in the same column	samecol(x,y)
X and y are both in the same column	samecol(x,y)
X. and Y. are in the same column	samecol(x,y)
X and Y. are in the same column	samecol(x,y)
Both x and y are in the same column	samecol(x,y)
X. and Y. are both in the same column	samecol(x,y)
Both x and |f| are the same size	samesize(x,f)
X. and |f| are the same size	samesize(x,f)
Both X. and |f| are the same size	samesize(x,f)
Both X. and |f| are the same size	samesize(x,f)
Both x and |f| are the same size	samesize(x,f)
X is the same size as |f|	samesize(x,f)
X and |f| are the same size	samesize(x,f)
X. is the same size as |f|	samesize(x,f)
X. and |f| both are the same size	samesize(x,f)
X and |f| both are the same size	samesize(x,f)
X and |f| are both the same size	samesize(x,f)
X. and |f| are both the same size	samesize(x,f)
|B| is in front of |b|	frontof(b,b)
|C| likes |a|	likes(c,a)
|A| and |b| are both in the same row	samerow(a,b)
|A| and |b| are in the same row	samerow(a,b)
Both |a| and |b| are in the same row	samerow(a,b)
|A| is in the same row as |b|	samerow(a,b)
|A| and |b| both are in the same row	samerow(a,b)
Both |a| and |b| are in the same row	samerow(a,b)
Both |e| and x are in the same row	samerow(e,x)
|E| and x are in the same row	samerow(e,x)
Both |e| and x are in the same row	samerow(e,x)
Both |e| and X. are in the same row	samerow(e,x)
|E| and X. are both in the same row	samerow(e,x)
|E| and X. both are in the same row	samerow(e,x)
|E| and X. are in the same row	samerow(e,x)
|E| and x are both in the same row	samerow(e,x)
|E| is in the same row as x	samerow(e,x)
Both |e| and X. are in the same row	samerow(e,x)
|E| and x both are in the same row	samerow(e,x)
|C| is to the left of |b|	leftof(c,b)
|D| is in the same column as |f|	samecol(d,f)
|D| and |f| are both in the same column	samecol(d,f)
|D| and |f| both are in the same column	samecol(d,f)
Both |d| and |f| are in the same column	samecol(d,f)
|D| and |f| are in the same column	samecol(d,f)
Both |d| and |f| are in the same column	samecol(d,f)
|A| is in back of |e|	backof(a,e)
|E| is larger than |a|	larger(e,a)
|B| is to the right of |f|	rightof(b,f)
|F| is to the left of |a|	leftof(f,a)
|D| is in front of |c|	frontof(d,c)
|B| is in back of |f|	backof(b,f)
Both |a| and z are the same shape	sameshape(a,z)
|A| and Z. both are the same shape	sameshape(a,z)
Both |a| and z are the same shape	sameshape(a,z)
|A| and z are the same shape	sameshape(a,z)
|A| and Z. are both the same shape	sameshape(a,z)
|A| and z are both the same shape	sameshape(a,z)
Both |a| and Z. are the same shape	sameshape(a,z)
|A| and z both are the same shape	sameshape(a,z)
|A| and Z. are the same shape	sameshape(a,z)
Both |a| and Z. are the same shape	sameshape(a,z)
|A| is to the right of |e|	rightof(a,e)
|A| likes y	likes(a,y)
|D| and X. are the same size	samesize(d,x)
Both |d| and x are the same size	samesize(d,x)
|D| and x both are the same size	samesize(d,x)
Both |d| and x are the same size	samesize(d,x)
|D| and X. are both the same size	samesize(d,x)
Both |d| and X. are the same size	samesize(d,x)
|D| and X. both are the same size	samesize(d,x)
|D| and x are the same size	samesize(d,x)
|D| and x are both the same size	samesize(d,x)
|D| is the same size as x	samesize(d,x)
Both |d| and X. are the same size	samesize(d,x)
|B| likes |c|	likes(b,c)
|F| is to the left of x	leftof(f,x)
|B| adjoins x	adjoins(b,x)
|F| likes |e|	likes(f,e)
Both Z. and |a| are in the same row	samerow(z,a)
Both Z. and |a| are in the same row	samerow(z,a)
Z. and |a| both are in the same row	samerow(z,a)
Z. and |a| are in the same row	samerow(z,a)
Z and |a| are both in the same row	samerow(z,a)
Z and |a| are in the same row	samerow(z,a)
Z and |a| both are in the same row	samerow(z,a)
Both z and |a| are in the same row	samerow(z,a)
Z. is in the same row as |a|	samerow(z,a)
Z. and |a| are both in the same row	samerow(z,a)
Both z and |a| are in the same row	samerow(z,a)
Z is in the same row as |a|	samerow(z,a)
|E| and |a| are both in the same row	samerow(e,a)
|E| is in the same row as |a|	samerow(e,a)
Both |e| and |a| are in the same row	samerow(e,a)
Both |e| and |a| are in the same row	samerow(e,a)
|E| and |a| are in the same row	samerow(e,a)
|E| and |a| both are in the same row	samerow(e,a)
|B| and |e| both are the same size	samesize(b,e)
Both |b| and |e| are the same size	samesize(b,e)
|B| is the same size as |e|	samesize(b,e)
|B| and |e| are the same size	samesize(b,e)
Both |b| and |e| are the same size	samesize(b,e)
|B| and |e| are both the same size	samesize(b,e)
|F| and x are both in the same column	samecol(f,x)
|F| is in the same column as x	samecol(f,x)
|F| and x both are in the same column	samecol(f,x)
|F| and X. are both in the same column	samecol(f,x)
|F| and X. both are in the same column	samecol(f,x)
|F| and x are in the same column	samecol(f,x)
Both |f| and x are in the same column	samecol(f,x)
Both |f| and X. are in the same column	samecol(f,x)
|F| and X. are in the same column	samecol(f,x)
Both |f| and X. are in the same column	samecol(f,x)
Both |f| and x are in the same column	samecol(f,x)
|E| is the same size as |c|	samesize(e,c)
|E| and |c| are both the same size	samesize(e,c)
|E| and |c| both are the same size	samesize(e,c)
|E| and |c| are the same size	samesize(e,c)
Both |e| and |c| are the same size	samesize(e,c)
Both |e| and |c| are the same size	samesize(e,c)
|A| is in back of x	backof(a,x)
|B| is in the same row as |a|	samerow(b,a)
|B| and |a| are in the same row	samerow(b,a)
Both |b| and |a| are in the same row	samerow(b,a)
Both |b| and |a| are in the same row	samerow(b,a)
|B| and |a| both are in the same row	samerow(b,a)
|B| and |a| are both in the same row	samerow(b,a)
|D| likes |d|	likes(d,d)
Z. is the same size as y	samesize(z,y)
Both z and y are the same size	samesize(z,y)
Z	samesize(z,y)
Z. and y are the same size	samesize(z,y)
Z and Y. are the same size	samesize(z,y)
Z. and Y. both are the same size	samesize(z,y)
Z. and y are both the same size	samesize(z,y)
Both z and Y. are the same size	samesize(z,y)
Z is the same size as y	samesize(z,y)
Z and y both are the same size	samesize(z,y)
Z and Y. are both the same size	samesize(z,y)
Both Z. and y are the same size	samesize(z,y)
Both z and y are the same size	samesize(z,y)
Both Z. and Y. are the same size	samesize(z,y)
Both Z. and y are the same size	samesize(z,y)
Z. and Y. are both the same size	samesize(z,y)
Z. and y both are the same size	samesize(z,y)
Both Z. and Y. are the same size	samesize(z,y)
Z and Y. both are the same size	samesize(z,y)
Z and y are both the same size	samesize(z,y)
Both z and Y. are the same size	samesize(z,y)
